"hrs_work","race","age","gender","time_to_work","married","edu","log_inc"
"83",40,0,50,1,25,1,0,11.6439537273766
"84",40,0,39,0,20,1,0,11.0020998412042
"85",45,0,43,1,10,1,0,12.6854076022048
"86",40,0,52,0,40,1,1,10.5966347330961
"87",30,0,34,1,12,1,0,8.69951474821019
"88",48,0,42,0,25,1,0,10.8967393255464
"89",40,0,42,1,15,1,0,11.3504065354725
"90",25,0,37,1,10,1,0,7.54960916515453
"91",60,0,26,1,20,1,0,10.9150884642146
"92",40,0,51,0,15,1,0,12.8942072842666
"93",40,0,43,0,15,0,1,10.4631033404715
"94",48,0,61,0,15,0,1,10.8589989975636
"95",45,0,68,1,20,1,1,10.5453414387085
"96",40,0,29,0,45,1,1,10.4193007178132
"97",40,0,47,1,10,1,1,10.6689553946757
"98",50,0,37,0,10,1,0,12.7158977689626
"99",40,0,59,1,30,1,1,10.454494965935
"100",25,0,36,1,15,1,1,9.61580548008435
"101",40,0,51,0,30,0,1,10.5966347330961
"102",50,0,52,0,40,1,1,12.7938593104323
"103",55,0,43,0,40,1,1,11.3963916487143
"104",40,0,50,0,3,0,0,10.5966347330961
"105",13,0,53,1,15,1,0,9.5468126085974
"106",8,0,17,0,8,0,1,8.34283980427146
"107",36,0,65,0,20,1,0,10.2750511089686
"108",65,0,29,0,20,1,0,11.1562505210315
"109",40,0,56,0,25,1,0,10.5966347330961
"110",8,0,31,0,5,1,1,8.69951474821019
"111",40,0,63,0,60,1,0,11.0821425488778
"112",55,0,46,1,5,1,1,8.9226582995244
"113",40,0,40,0,40,0,0,12.7367008965923
"114",40,0,27,1,25,1,0,10.7363966754712
"115",35,0,63,1,45,1,0,10.5713169251118
"116",30,0,36,0,30,0,0,8.29404964010203
"117",70,0,46,0,148,1,1,10.8197782844103
"118",40,0,19,0,15,0,1,9.74096862303835
"119",40,1,51,0,4,1,1,10.0858091093301
"120",40,0,51,1,15,1,0,11.3504065354725
"121",46,0,48,0,20,0,0,11.7280368445872
"122",50,0,40,0,35,0,0,10.4341158035983
"123",40,1,33,0,20,0,1,10.6454248972655
"124",40,0,46,0,25,1,1,11.0020998412042
"125",40,0,31,1,30,1,0,10.8197782844103
"126",50,1,23,0,30,0,1,9.86266555801587
"127",40,0,35,0,30,1,1,10.2035921449865
"128",40,0,47,1,45,1,1,10.1266311038503
"129",18,0,59,1,10,1,0,9.88328484521861
"130",30,0,55,1,25,1,1,9.39266192877014
"131",40,0,61,0,15,1,0,11.5129254649702
"132",40,0,28,1,40,1,0,10.77895628989
"133",37,0,31,1,20,1,1,9.85219425814858
"134",45,0,61,0,75,1,1,10.1266311038503
"135",40,0,40,1,60,1,0,10.4631033404715
"136",65,0,43,0,35,0,1,12.0725412529057
"137",40,0,66,0,9,0,1,10.8197782844103
"138",40,0,58,0,20,1,1,10.3089526606443
"139",40,0,20,0,20,1,1,9.21034037197618
"140",30,0,69,1,20,1,1,10.0858091093301
"141",68,0,20,0,30,0,1,11.0020998412042
"142",42,1,46,0,40,0,1,11.9183905730784
"143",25,0,21,0,5,0,1,8.47637119689598
"144",40,0,64,0,30,1,0,10.8197782844103
"145",45,0,61,0,20,1,0,11.5898865061064
"146",40,0,57,1,10,1,1,10.2363819678095
"147",40,0,37,0,25,1,1,10.6689553946757
"148",20,0,26,0,20,0,1,8.36637030168165
"149",50,0,53,0,15,1,1,10.1658518170036
"150",40,0,28,1,10,1,0,10.3089526606443
"151",50,0,33,1,45,1,0,11.289781913656
"152",30,0,20,1,5,1,1,9.68034400122192
"153",50,0,53,0,30,1,0,12.1495022940418
"154",45,0,64,0,20,1,1,10.5186731916264
"155",40,0,65,0,20,0,1,11.5991031612113
"156",25,0,19,0,5,0,1,7.60090245954208
"157",37,0,54,1,40,1,0,10.2955296403122
"158",30,0,26,1,60,1,1,7.60090245954208
"159",20,0,63,1,10,1,1,9.30565055178051
"160",40,0,65,1,60,1,1,9.39266192877014
"161",40,0,38,1,20,1,1,9.61580548008435
"162",55,0,65,0,10,1,0,13.0170028617465
"163",20,0,33,0,30,0,1,8.98719682066197
"164",49,1,43,1,5,1,1,9.7981270368783
"165",30,0,25,1,15,1,0,9.7981270368783
"166",40,0,42,1,20,1,1,10.2035921449865
"167",24,0,26,1,20,1,1,9.39266192877014
"168",40,0,38,1,30,1,0,10.6213273456864
"169",40,0,38,0,10,1,0,11.4075649493124
"170",45,0,49,0,20,0,1,11.0020998412042
"171",40,0,35,1,40,1,0,10.3089526606443
"172",40,0,23,1,10,1,1,9.21034037197618
"173",80,0,48,1,7,1,0,10.8197782844103
"174",40,0,30,1,15,1,1,10.0858091093301
"175",40,0,27,0,35,0,0,11.3850920934603
"176",40,1,54,1,5,1,1,9.7981270368783
"177",40,0,47,1,15,1,1,9.65502619323763
"178",30,0,60,1,10,1,1,9.39266192877014
"179",60,1,27,1,20,1,0,10.3089526606443
"180",40,0,51,0,25,1,0,11.289781913656
"181",40,0,54,1,3,1,1,9.34136863438259
"182",70,0,51,0,60,1,0,12.7512996960135
"183",40,0,43,1,60,1,1,9.41735454136051
"184",45,0,47,0,30,1,1,11.2252433925184
"185",40,0,42,0,25,1,1,9.99879773234045
"186",35,0,22,0,7,0,1,9.30565055178051
"187",40,0,25,0,5,0,1,10.1345992734995
"188",15,0,18,1,10,1,1,7.37775890822787
"189",40,0,49,0,25,0,1,9.90348755253613
"190",20,0,58,0,5,0,1,8.41183267575841
"191",40,1,52,1,7,1,1,8.57546209954021
"192",40,0,67,1,20,1,1,9.72913416539135
"193",40,1,50,0,15,1,1,10.3734911817819
"194",40,1,57,0,25,0,1,10.7144177687525
"195",60,0,61,0,45,1,1,11.7360690162844
"196",40,0,62,1,20,1,1,11.4075649493124
"197",40,0,28,0,60,1,0,9.90348755253613
"198",40,0,31,1,5,1,1,10.1658518170036
"199",40,1,57,1,10,1,1,10.3734911817819
"200",40,1,42,0,10,1,1,10.5713169251118
"201",40,0,52,0,10,1,1,10.8589989975636
"202",40,0,37,0,25,1,1,10.5966347330961
"203",40,0,33,1,25,1,0,10.6919449129004
"204",53,0,32,0,15,1,0,10.9681982895286
"205",40,0,34,0,35,0,1,8.1605182474775
"206",40,0,33,0,15,1,1,10.0858091093301
"207",40,1,52,1,20,1,0,10.9331069697173
"208",40,0,68,0,40,1,0,11.289781913656
"209",40,0,60,1,25,1,1,10.0982316293286
"210",40,0,27,0,60,0,1,9.14846496825809
"211",70,0,36,1,5,1,1,9.61580548008435
"212",40,1,24,0,20,0,1,9.82552601106642
"213",40,0,56,0,45,0,0,10.77895628989
"214",45,0,57,0,20,1,0,12.4292161968444
"215",40,0,63,1,15,1,0,11.1562505210315
"216",12,0,22,1,5,1,1,7.60090245954208
"217",40,0,56,0,10,1,0,10.77895628989
"218",40,0,44,0,1,0,0,9.7981270368783
"219",40,0,38,0,20,1,1,10.6454248972655
"220",40,0,58,1,15,1,1,10.7385682289847
"221",10,0,24,0,20,1,0,8.00636756765025
"222",40,1,50,1,30,1,1,10.3449630981673
"223",40,0,52,1,10,1,1,10.6454248972655
"224",55,0,24,1,40,1,0,10.3089526606443
"225",40,0,33,0,23,1,1,10.4631033404715
"226",50,1,45,0,15,1,1,10.8197782844103
"227",38,0,28,0,10,0,0,10.8780471925343
"228",5,0,21,1,5,1,1,7.17011954344963
"229",40,0,48,0,10,1,1,11.0020998412042
"230",45,0,28,1,10,1,1,10.3089526606443
"231",40,0,46,0,45,1,0,10.4311702933685
"232",40,0,61,1,15,1,0,11.0508900053737
"233",42,0,31,0,30,1,1,10.7144177687525
"234",50,0,29,0,45,0,0,10.8197782844103
"235",40,0,49,0,30,1,1,11.0348896640272
"236",43,0,50,0,45,1,1,11.0821425488778
"237",30,1,44,1,5,1,1,9.61580548008435
"238",37,0,29,0,5,0,0,9.52515111181622
"239",32,0,56,1,15,1,1,9.61580548008435
"240",25,0,32,1,45,1,1,7.09007683577609
"241",30,0,56,1,60,1,0,10.4631033404715
"242",40,0,37,0,20,0,1,10.8197782844103
"243",40,1,33,1,30,1,1,9.74096862303835
"244",50,0,55,0,60,1,1,10.9508065468167
"245",40,0,18,0,5,0,1,9.68034400122192
"246",35,0,24,1,10,1,1,7.82404601085629
"247",25,0,20,1,10,1,1,9.21034037197618
"248",40,0,46,1,60,1,0,11.2772031314492
"249",40,0,38,0,45,1,1,10.4631033404715
"250",40,0,56,0,15,1,1,10.6213273456864
"251",45,0,39,1,15,1,1,10.7995755770928
"252",15,0,36,1,5,1,1,5.29831736654804
"253",40,0,27,0,15,0,0,10.7144177687525
"254",30,1,18,1,60,1,1,8.69951474821019
"255",40,0,50,0,25,1,0,11.0348896640272
"256",45,0,38,0,45,1,0,10.7144177687525
"257",45,0,54,0,10,0,1,11.0821425488778
"258",20,0,50,1,20,1,1,8.66561319653451
"259",40,0,24,1,45,1,0,10.8197782844103
"260",5,0,19,1,5,1,1,6.52209279817015
"261",40,0,55,0,15,0,1,9.39266192877014
"262",50,1,38,1,30,1,0,11.2118203721863
"263",25,0,19,1,2,1,1,8.00636756765025
"264",50,1,24,1,35,1,0,10.1145585226161
"265",37,0,44,1,10,1,1,9.16951837745593
"266",45,0,33,0,15,1,1,9.90348755253613
"267",30,0,48,1,15,1,1,9.90348755253613
"268",50,0,47,0,5,1,0,10.4631033404715
"269",35,0,28,1,10,1,1,9.90348755253613
"270",40,0,29,0,60,1,0,11.2252433925184
"271",32,0,50,1,10,1,1,10.5966347330961
"272",60,0,52,1,70,1,0,11.6082356447746
"273",40,1,44,0,20,0,1,10.3089526606443
"274",40,1,37,1,60,1,1,10.77895628989
"275",6,0,19,1,10,1,1,6.74523634948436
"276",40,0,68,0,50,1,1,10.5687495296065
"277",35,1,46,1,60,1,1,11.0821425488778
"278",36,1,62,0,30,1,0,11.2252433925184
"279",46,1,62,1,6,1,1,10.3481733737976
"280",60,0,54,0,90,1,0,11.5617156291397
"281",40,1,28,0,90,0,1,10.0858091093301
"282",45,0,46,1,20,1,0,11.0666383623418
"283",40,0,53,0,55,1,1,11.289781913656
"284",80,0,53,0,15,1,1,9.99879773234045
"285",35,0,62,0,15,1,0,10.1658518170036
"286",32,0,53,0,16,0,0,9.74096862303835
"287",46,0,34,0,35,1,1,10.3089526606443
"288",40,0,49,0,30,1,1,11.0821425488778
"289",50,0,41,0,15,1,1,10.77895628989
"290",40,0,39,1,30,1,1,9.85219425814858
"291",40,0,60,0,10,1,1,10.6919449129004
"292",40,1,40,0,10,0,1,10.5453414387085
"293",40,0,53,1,25,1,1,10.2750511089686
"294",45,0,28,0,30,1,1,10.3089526606443
"295",40,0,38,0,5,0,0,10.5186731916264
"296",17,1,50,0,125,0,1,7.09007683577609
"297",43,0,60,0,90,0,0,10.5050675395706
"298",40,0,43,0,20,1,0,11.6172854802945
"299",55,0,37,0,20,1,1,10.8589989975636
"300",44,0,64,0,45,1,1,9.51044496442652
"301",30,0,30,1,30,1,0,9.21034037197618
"302",30,0,22,1,30,1,1,9.44145209293957
"303",40,0,33,1,30,1,0,10.7747809184795
"304",35,1,51,1,163,1,0,10.5453414387085
"305",40,0,36,0,75,1,0,11.5327280922664
"306",25,0,23,0,35,0,1,9.65502619323763
"307",40,0,20,1,10,1,1,9.90348755253613
"308",50,0,51,1,35,1,1,9.7981270368783
"309",40,0,49,0,15,0,1,9.61580548008435
"310",50,0,84,0,18,1,1,11.2252433925184
"311",40,0,35,0,25,1,1,10.0432494949113
"312",40,0,60,0,20,1,1,10.4631033404715
"313",32,0,67,0,15,1,1,10.7144177687525
"314",25,0,17,0,15,0,1,6.90775527898214
"315",30,0,66,0,15,1,1,9.99879773234045
"316",40,1,27,0,15,0,0,10.77895628989
"317",40,0,62,1,75,1,0,11.9183905730784
"318",40,0,46,0,40,1,0,10.8197782844103
"319",60,0,49,0,15,1,0,11.7752897294377
"320",40,0,76,0,25,1,0,10.4631033404715
"321",16,0,23,1,5,1,0,8.98719682066197
"322",45,0,32,1,30,1,0,11.6952470217642
"323",50,0,43,0,95,1,0,10.5966347330961
"324",30,0,40,1,15,1,0,9.5324238711453
"325",40,0,47,0,40,1,1,10.8395809117065
"326",40,0,63,0,60,1,1,11.2118203721863
"327",45,0,74,0,60,1,1,11.1562505210315
"328",50,0,58,0,15,0,0,11.4295438560312
"329",15,0,16,1,30,1,1,6.90775527898214
"330",40,0,35,0,20,1,1,10.2035921449865
"331",40,0,64,1,30,1,0,11.0666383623418
"332",38,0,57,1,45,1,1,10.0432494949113
"333",40,0,43,0,30,1,0,12.8942072842666
"334",40,0,20,1,20,1,1,8.1605182474775
"335",45,0,37,0,6,1,0,11.3963916487143
"336",50,0,30,0,15,1,1,10.77895628989
"337",40,0,38,0,35,0,1,10.8589989975636
"338",8,0,84,1,17,1,1,8.66561319653451
"339",55,0,44,0,30,1,1,10.9331069697173
"340",36,0,39,1,25,1,0,11.0508900053737
"341",40,0,19,0,10,0,1,8.85366542803745
"342",50,0,57,0,25,0,0,11.289781913656
"343",50,0,35,1,8,1,0,11.1418617835794
"344",26,1,18,1,25,1,1,7.09007683577609
"345",40,0,32,0,45,1,1,10.1266311038503
"346",40,0,41,0,20,1,0,11.47210347045
"347",40,1,55,0,60,1,1,8.49699048409872
"348",50,0,59,0,30,1,0,10.5584135202759
"349",20,0,35,1,15,1,1,8.47637119689598
"350",40,0,53,0,4,1,1,10.4631033404715
"351",50,0,25,0,20,0,0,10.4341158035983
"352",40,0,47,1,15,1,0,10.6689553946757
"353",40,0,38,1,22,1,1,10.1425044530066
"354",40,0,47,1,10,1,1,10.4912742174382
"355",30,0,55,0,10,1,0,9.41735454136051
"356",20,0,34,0,10,1,1,10.3089526606443
"357",50,1,43,0,2,1,1,10.1266311038503
"358",30,0,25,1,30,1,1,9.21034037197618
"359",60,0,49,0,2,1,1,10.5713169251118
"360",40,0,42,0,23,1,1,10.7188523658203
"361",40,0,51,1,30,1,1,10.5966347330961
"362",40,0,45,0,20,1,0,11.0348896640272
"363",9,0,42,1,60,1,0,7.24422751560335
"364",40,0,54,0,20,1,0,11.6082356447746
"365",40,0,54,1,7,1,1,7.90100705199242
"366",37,0,29,1,15,1,0,8.29404964010203
"367",40,0,21,0,5,0,1,9.61580548008435
"368",37,0,53,1,157,1,0,10.5966347330961
"369",32,0,55,1,30,1,0,10.4631033404715
"370",40,0,75,0,60,1,1,9.83627880284268
"371",40,0,25,1,35,1,1,9.85219425814858
"372",20,1,23,0,3,0,0,8.1605182474775
"373",40,0,39,0,30,1,1,10.9150884642146
"374",50,0,49,1,2,1,1,8.43381158247719
"375",28,0,22,1,15,1,0,9.61580548008435
"376",40,0,60,1,20,1,0,11.1844213979982
"377",30,0,18,0,6,0,1,8.85366542803745
"378",20,0,64,0,12,1,1,9.5468126085974
"379",40,0,49,1,10,1,0,10.5713169251118
"380",56,0,28,0,15,1,1,10.4631033404715
"381",40,0,23,0,15,0,1,10.1266311038503
"382",40,1,47,1,30,1,1,10.1542462708833
"383",1,1,20,0,30,0,1,5.7037824746562
"384",38,0,67,1,5,1,0,8.47637119689598
"385",35,0,82,1,40,1,1,11.0020998412042
"386",10,0,59,1,5,1,1,8.36637030168165
"387",6,1,78,1,2,1,1,7.17011954344963
"388",40,0,59,0,15,1,1,11.3504065354725
"389",21,1,32,1,30,1,1,8.69951474821019
"390",45,1,33,0,20,1,1,10.5186731916264
"391",55,0,38,0,20,1,0,10.6919449129004
"392",20,0,73,1,5,1,1,9.47270463644367
"393",50,0,52,0,60,1,0,11.5129254649702
"394",36,0,37,0,5,1,0,12.4292161968444
"395",37,0,60,1,10,1,1,10.1105017219205
"396",50,1,54,0,17,1,1,10.8197782844103
"397",40,0,39,1,20,1,1,10.5078035193895
"398",40,0,46,1,15,1,1,10.0858091093301
"399",60,0,64,0,75,1,1,10.4631033404715
"400",24,0,73,1,20,1,1,9.71715797434464
"401",36,0,58,1,10,1,0,10.3089526606443
"402",20,0,41,1,30,1,0,8.98719682066197
"403",40,0,29,1,15,1,1,10.1266311038503
"404",40,0,35,1,5,1,1,9.21034037197618
"405",40,0,38,0,20,0,0,11.289781913656
"406",40,1,28,0,40,1,1,10.5966347330961
"407",50,0,34,0,40,0,1,11.7752897294377
"408",50,0,25,0,20,0,0,10.4133126759685
"409",40,0,38,1,90,1,1,11.0821425488778
"410",35,0,21,0,3,0,1,8.00636756765025
"411",50,0,54,0,15,1,0,11.1562505210315
"412",50,0,37,0,15,1,1,10.4912742174382
"413",40,0,62,0,60,1,0,12.896716695872
"414",40,0,54,0,10,1,1,10.1266311038503
"415",40,1,25,0,70,0,1,10.7363966754712
"416",40,1,47,0,20,0,1,9.39266192877014
"417",44,0,55,0,40,1,1,11.3621025752356
"418",40,0,25,1,10,1,1,9.86266555801587
"419",30,0,50,1,20,1,0,5.85793315448346
"420",40,0,59,0,20,1,0,11.2252433925184
"421",15,1,19,1,5,1,1,7.9373746961633
"422",25,0,24,0,45,0,1,8.98719682066197
"423",40,0,30,1,20,1,1,9.90348755253613
"424",35,1,41,1,10,1,1,9.90348755253613
"425",40,1,29,1,10,1,0,10.8197782844103
"426",40,1,53,0,20,1,1,9.87816974455184
"427",45,0,44,0,70,1,0,11.7752897294377
"428",40,0,36,0,30,1,1,11.4295438560312
"429",40,1,59,0,10,1,1,8.98719682066197
"430",40,0,27,0,45,0,0,10.8197782844103
"431",45,0,60,0,27,0,0,11.5521461781235
"432",40,0,53,1,20,1,0,10.1658518170036
"433",40,0,59,1,15,1,0,11.1562505210315
"434",10,1,67,1,6,1,0,9.59560277276683
"435",40,0,27,0,15,0,1,11.1272629841582
"436",60,0,34,0,35,1,0,12.5707157591181
"437",40,0,58,0,75,1,0,11.4075649493124
"438",40,0,61,1,35,1,0,10.6828124293371
"439",45,0,29,0,20,0,1,10.1658518170036
"440",38,0,51,1,15,1,1,10.0858091093301
"441",60,0,49,0,15,1,0,11.4510500612521
"442",50,0,22,0,15,0,1,9.61580548008435
"443",40,0,26,0,45,0,1,10.3417424834673
"444",25,1,28,0,60,0,0,10.1266311038503
"445",40,0,53,0,10,1,1,10.9681982895286
"446",40,1,72,0,30,1,1,10.3797217315325
"447",45,0,53,0,5,1,1,10.8780471925343
"448",40,1,30,1,20,1,0,10.3734911817819
"449",23,0,25,1,40,1,0,9.61580548008435
"450",40,0,55,0,30,0,1,9.7981270368783
"451",40,0,44,0,142,1,1,9.74683374249075
"452",25,0,29,0,60,0,1,8.00636756765025
"453",60,0,60,0,5,1,0,11.8130300574206
"454",11,0,39,1,45,1,1,6.68461172766793
"455",40,0,37,1,35,1,0,9.7981270368783
"456",50,0,64,0,3,1,0,11.3022044336546
"457",30,0,21,1,35,1,1,9.90348755253613
"458",48,1,44,1,30,1,0,10.5453414387085
"459",40,0,61,1,15,1,0,10.8395809117065
"460",15,0,34,1,30,1,0,6.50727771238501
"461",45,0,23,0,40,0,0,10.5966347330961
"462",48,0,50,0,10,1,1,9.10497985631836
"463",40,1,43,0,15,1,0,11.0821425488778
"464",50,0,46,0,60,1,1,11.7597855429018
"465",75,0,35,0,3,1,1,10.8197782844103
"466",38,0,50,0,20,1,0,10.4012279367535
"467",50,0,44,0,1,0,1,11.2252433925184
"468",36,0,28,1,20,1,1,9.99879773234045
"469",60,0,51,0,15,1,1,10.4631033404715
"470",40,1,62,0,60,1,0,11.4616321705827
"471",45,0,29,0,10,0,0,10.4772879754635
"472",36,0,27,1,25,1,0,10.0858091093301
"473",35,0,57,1,5,1,1,11.6082356447746
"474",40,0,24,0,5,0,1,9.74096862303835
"475",40,0,52,0,15,1,1,10.4631033404715
"476",60,0,49,1,45,1,1,10.5453414387085
"477",30,0,18,1,10,1,1,8.51719319141624
"478",25,0,20,0,15,0,1,7.09007683577609
"479",15,0,18,0,10,0,1,8.51719319141624
"480",40,0,41,1,7,1,1,9.99879773234045
"481",40,1,46,0,15,1,0,10.5966347330961
"482",40,0,67,0,30,1,0,11.0020998412042
"483",40,0,48,1,20,1,0,10.7363966754712
"484",40,0,58,1,7,1,1,10.2399597891573
"485",60,0,57,0,20,1,0,11.7752897294377
"486",40,1,61,1,30,1,1,9.90348755253613
"487",48,0,38,0,40,0,0,11.1562505210315
"488",40,0,30,1,25,1,0,10.6454248972655
"489",40,0,30,0,25,1,1,11.0020998412042
"490",20,0,67,0,45,1,0,12.7367008965923
"491",40,1,26,0,20,0,1,9.7981270368783
"492",40,0,25,0,40,0,0,9.90348755253613
"493",36,0,24,0,90,0,1,9.61580548008435
"494",42,0,46,1,25,1,0,10.5966347330961
"495",40,0,63,0,45,1,1,10.6115233455898
"496",42,1,46,0,12,1,0,10.5966347330961
"497",60,0,41,0,25,1,0,12.7512996960135
"498",40,0,23,0,15,0,1,9.69276652122048
"499",32,0,19,0,20,0,1,8.26873183211774
"500",35,1,19,0,60,0,1,9.30565055178051
"501",45,1,59,1,25,1,1,10.8589989975636
"502",40,0,56,0,10,1,0,10.8395809117065
"503",32,1,61,1,5,1,0,10.7144177687525
"504",43,0,55,0,35,1,1,10.9681982895286
"505",40,0,44,1,60,1,0,9.25913053614561
"506",40,0,44,0,30,1,1,11.2252433925184
"507",50,0,38,0,5,1,0,10.7144177687525
"508",30,0,53,0,45,0,1,6.68461172766793
"509",25,0,23,0,5,0,1,8.69951474821019
"510",40,0,54,1,15,1,0,11.9703503120091
"511",50,1,40,0,25,1,1,10.9681982895286
"512",40,0,29,1,60,1,0,9.9134378833893
"513",60,1,48,0,15,1,0,11.0508900053737
"514",40,0,34,1,75,1,1,10.3417424834673
"515",40,0,49,1,25,1,1,10.2035921449865
"516",40,1,20,1,20,1,1,10.1266311038503
"517",70,0,55,0,30,1,1,10.534759329378
"518",40,1,54,0,10,1,1,10.2576593662567
"519",60,1,59,0,10,0,1,10.0432494949113
"520",7,0,94,0,5,0,0,7.82404601085629
"521",25,1,53,1,30,1,1,10.1266311038503
"522",40,0,42,0,90,1,0,10.6213273456864
"523",50,0,35,1,30,1,0,11.2772031314492
"524",35,0,59,1,40,1,0,10.9681982895286
"525",40,0,43,0,15,1,1,10.5966347330961
"526",25,0,35,1,5,1,1,8.55641390456952
"527",40,0,23,1,40,1,1,9.39266192877014
"528",36,1,46,1,45,1,1,10.4341158035983
"529",40,0,36,0,25,1,1,9.86266555801587
"530",20,0,71,1,10,1,1,9.7981270368783
"531",40,0,30,0,20,1,1,10.1658518170036
"532",20,1,21,1,7,1,1,8.1605182474775
"533",43,0,48,0,8,1,1,10.4912742174382
"534",40,0,32,1,30,1,0,9.16951837745593
"535",32,0,54,1,10,1,1,9.74096862303835
"536",40,0,48,1,15,1,1,9.85219425814858
"537",30,0,21,0,15,0,1,9.39266192877014
"538",30,0,48,0,15,1,1,10.7144177687525
"539",50,0,39,0,30,1,1,10.8589989975636
"540",20,1,22,1,15,1,0,7.09007683577609
"541",5,0,30,1,20,1,0,3.91202300542815
"542",40,1,25,0,45,0,0,9.10497985631836
"543",40,0,51,0,20,1,1,10.5966347330961
"544",32,0,19,0,30,0,1,8.53699581871242
"545",50,0,47,0,60,1,0,11.2644641056717
"546",40,0,43,0,30,1,1,10.3089526606443
"547",9,1,30,1,60,1,0,7.82404601085629
"548",40,1,49,0,20,1,0,10.8395809117065
"549",40,0,44,1,15,1,1,11.1562505210315
"550",55,0,53,1,15,1,0,10.5966347330961
"551",40,0,50,0,20,1,1,10.9331069697173
"552",40,0,26,1,30,1,1,9.45720044990771
"553",60,0,41,0,35,1,0,11.5129254649702
"554",40,0,36,0,45,1,0,10.9150884642146
"555",40,0,47,1,30,1,0,10.3089526606443
"556",60,0,64,0,40,1,0,12.7512996960135
"557",80,0,40,0,5,1,1,12.7512996960135
"558",40,0,52,1,12,1,1,11.289781913656
